Timestamp,Partiipant Number,Estimated Time Played
10/12/2018 18:15,1001,40
10/22/2018 19:28,1001,40
11/5/2018 0:16,1001,20
11/13/2018 1:03,1001,40
11/27/2018 2:52,1001,20
11/27/2018 15:16,1001,15
12/1/2018 1:18,1001,20
12/8/2018 0:17,1001,20
10/4/2018 21:16,1002,30
10/11/2018 18:31,1002,20
10/26/2018 15:06,1002,30
10/2/2018 12:45,1005,20
10/3/2018 13:02,1005,21
9/25/2018 20:51,1006,20
10/3/2018 11:57,1006,20
10/3/2018 20:56,1006,20
10/10/2018 11:50,1006,20
10/14/2018 18:39,1006,20
10/15/2018 11:53,1006,20
10/29/2018 11:49,1006,20
3/13/2019 20:29,1021,120
4/8/2019 18:19,1021,60
2/26/2019 16:28,1024,25
2/28/2019 14:25,1024,20
3/4/2019 15:20,1024,20
3/8/2019 16:07,1024,25
3/20/2019 17:25,1024,35
3/23/2019 17:49,1024,30
4/3/2019 13:04,1024,35
4/5/2019 0:20,1024,35
4/19/2019 23:35,1024,35
4/21/2019 15:20,1024,35
3/4/2019 14:22,1028,60
3/18/2019 15:26,1028,60
3/18/2019 15:27,1028,120
3/21/2019 11:30,1028,120
3/27/2019 12:39,1028,120
3/29/2019 15:42,1028,120
4/1/2019 14:27,1028,180
4/5/2019 18:13,1028,180
4/5/2019 18:14,1028,60
2/17/2019 11:07,1030,25
2/20/2019 19:53,1030,23
3/2/2019 0:16,1030,30
3/2/2019 11:34,1030,38
3/9/2019 14:46,1030,60
3/16/2019 13:36,1030,60
3/23/2019 23:52,1030,60
3/30/2019 10:21,1030,60
4/6/2019 23:51,1030,60
4/13/2019 10:26,1030,60
2/27/2019 22:05,1031,20
3/10/2019 22:38,1031,20
4/21/2019 21:22,1032,20
2/17/2019 20:08,1034,15
2/23/2019 9:20,1034,20
2/27/2019 18:49,1034,20
3/13/2019 23:30,1034,20
3/15/2019 8:52,1034,20
3/22/2019 18:01,1034,20
4/1/2019 7:15,1034,21
4/3/2019 22:28,1034,20
9/21/2018 15:31,2002,20
9/25/2018 16:46,2002,20
9/27/2018 17:18,2002,20
10/3/2018 16:02,2002,20
10/6/2018 16:27,2002,20
10/6/2018 15:50,2003,20
10/10/2018 16:30,2003,20
10/19/2018 14:46,2003,30
10/30/2018 18:31,2003,15
11/2/2018 14:41,2003,15
11/12/2018 11:51,2003,20
11/24/2018 13:44,2003,20
11/24/2018 14:13,2003,20
11/24/2018 14:13,2003,10
11/25/2018 1:15,2003,20
11/26/2018 16:51,2003,30
11/26/2018 18:14,2003,35
10/6/2018 21:48,2004,30
10/10/2018 18:43,2004,40
10/15/2018 18:13,2004,40
10/20/2018 3:38,2004,50
10/27/2018 19:48,2004,60
11/7/2018 22:43,2004,60
11/19/2018 3:42,2004,60
11/24/2018 21:51,2004,60
9/21/2018 17:53,2006,30
9/26/2018 0:17,2006,30
9/29/2018 17:06,2006,15
9/29/2018 17:55,2006,15
10/10/2018 0:07,2006,15
10/2/2018 22:46,2007,35
9/27/2018 15:39,2008,5
9/27/2018 16:41,2008,30
9/28/2018 11:57,2008,30
10/1/2018 10:00,2008,30
10/3/2018 10:14,2008,30
10/8/2018 12:03,2008,20
10/10/2018 9:49,2008,20
10/12/2018 9:51,2008,20
10/15/2018 10:11,2008,30
10/17/2018 18:45,2008,10
10/17/2018 18:45,2008,20
10/23/2018 17:59,2008,30
10/24/2018 11:32,2008,30
10/30/2018 21:03,2008,30
11/1/2018 18:15,2008,20
11/2/2018 11:52,2008,10
11/5/2018 18:35,2008,20
11/9/2018 18:26,2008,20
11/9/2018 22:38,2008,20
11/14/2018 12:16,2008,20
11/15/2018 22:50,2008,30
11/16/2018 12:07,2008,10
10/30/2018 1:48,2009,20
10/30/2018 1:48,2009,45
9/24/2018 20:29,2011,20
10/1/2018 0:28,2011,40
10/1/2018 21:45,2011,25
10/3/2018 18:37,2011,20
10/8/2018 13:29,2011,15
10/14/2018 17:28,2011,45
10/16/2018 17:13,2011,20
10/21/2018 14:30,2011,20
10/22/2018 23:55,2011,20
10/23/2018 19:36,2011,20
10/25/2018 19:56,2011,20
10/30/2018 12:13,2011,20
10/30/2018 19:24,2011,20
11/5/2018 23:08,2011,20
11/6/2018 1:04,2011,20
11/6/2018 13:14,2011,20
11/13/2018 19:41,2011,60
10/10/2018 11:54,2013,35
10/10/2018 11:54,2013,45
10/18/2018 11:54,2013,55
10/25/2018 17:35,2013,50
11/2/2018 13:34,2013,60
11/26/2018 16:03,2013,65
12/2/2018 23:25,2013,60
10/1/2018 0:51,2014,10
10/2/2018 2:02,2014,20
10/2/2018 20:11,2014,10
10/5/2018 1:20,2014,10
10/10/2018 19:43,2014,25
10/11/2018 14:33,2014,25
10/15/2018 15:55,2014,25
10/20/2018 16:27,2014,25
10/22/2018 0:13,2014,30
10/25/2018 0:38,2014,15
10/28/2018 0:15,2014,20
11/6/2018 0:32,2014,40
11/7/2018 21:53,2014,20
11/17/2018 22:52,2014,30
11/18/2018 23:09,2014,30
11/25/2018 1:04,2014,20
11/25/2018 22:20,2014,20
11/27/2018 12:14,2014,20
10/6/2018 12:58,2015,32
10/7/2018 15:51,2015,36
10/11/2018 11:34,2015,29
10/12/2018 17:35,2015,20
10/18/2018 12:01,2015,30
10/21/2018 22:09,2015,20
10/25/2018 23:41,2015,30
10/26/2018 14:50,2015,30
11/4/2018 23:21,2015,30
11/5/2018 11:03,2015,30
11/11/2018 23:14,2015,20
11/13/2018 20:18,2015,10
11/17/2018 17:59,2015,50
9/29/2018 14:40,2016,80
10/7/2018 20:14,2016,60
10/29/2018 3:01,2016,60
11/5/2018 16:21,2016,60
11/13/2018 1:48,2016,60
12/5/2018 15:47,2016,60
