Weight,Nested,Order,Procedure,TrialID,PicFile2,Sound,WavFile2,Condition,Image-id,conid,AOI1,AOI2,AOI3,AOI4,AOI1-id,AOI2-id,AOI3-id,AOI4-id,targetAOI,competitorAOI,rhymeAOI,distAOI
,,1,,F27_10,F27_10.bmp,pe3,f1-pe3.wav,SLDI,22.bmp,10,biu1,rai1,me3,pe3,118,112,110,22,4,3,1,2
,,2,,F28_08,F28_08.bmp,gi4,m1-gi4.wav,SLRY,48.bmp,8,rai3,biu1,gi4,zi2,79,118,48,80,3,4,2,1
,,3,,F42_06,F42_06.bmp,piu2,m1-piu2.wav,SLHP,64.bmp,6,piu2,gi1,fai3,me4,64,97,55,10,1,3,2,4
,,4,,T07_02,T07_02.bmp,ri2,f2-ri2.wav,SHTI,1.bmp,2,ri4,ziu3,fi2,ri2,65,103,87,1,4,1,3,2
,,5,,F37_06,F37_06.bmp,be2,f2-be2.wav,SHHP,47.bmp,6,fe1,ga3,be2,kiu4,36,133,47,109,2,1,4,3
,,6,,F17_06,F17_06.bmp,fai3,m2-fai3.wav,SLHP,4.bmp,6,fai3,gi2,giu1,fiu3,4,134,37,74,1,2,3,4
,,7,,T03_01,T03_01.bmp,fi3,f1-fi3.wav,SHTP,2.bmp,1,ri3,ga2,fi3,fi1,27,69,2,35,3,4,1,2
,,8,,F36_08,F36_08.bmp,piu3,m2-piu3.wav,SLRY,121.bmp,8,piu3,zi1,giu4,fai2,121,34,8,13,1,4,3,2
,,9,,T05_02,T05_02.bmp,ziu1,m2-ziu1.wav,SHTI,33.bmp,2,kiu1,ziu2,ziu1,ri4,105,38,33,20,3,2,1,4
,,10,,F29_11,F29_11.bmp,mia4,m2-mia4.wav,FILL,117.bmp,11,mia4,riu2,zi1,giu4,117,11,34,8,1,2,4,3
,,11,,F20_05,F20_05.bmp,kiu4,f1-kiu4.wav,SHHP,14.bmp,5,kiu4,be2,fe1,fi3,14,47,102,101,1,2,3,4
,,12,,T16_04,T16_04.bmp,pe1,m2-pe1.wav,SLTI,46.bmp,4,me1,pe2,pe1,biu4,40,68,46,111,3,2,1,4
,,13,,F21_05,F21_05.bmp,ra1,m2-ra1.wav,SHHP,21.bmp,5,fi3,ra1,ri4,pia1,60,21,59,25,2,3,4,1
,,14,,F33_08,F33_08.bmp,rai3,f2-rai3.wav,SLRY,79.bmp,8,piu4,me3,rai3,fai1,39,110,79,135,3,4,2,1
,,15,,T14_04,T14_04.bmp,zi4,f2-zi4.wav,SLTI,3.bmp,4,gi4,zi3,zi4,fai1,48,45,3,135,3,2,1,4
,,16,,F39_11,F39_11.bmp,fiu3,f1-fiu3.wav,FILL,74.bmp,11,be2,fiu1,giu4,fiu3,47,30,8,74,4,2,1,3
,,17,,F44_05,F44_05.bmp,ri4,m2-ri4.wav,SHHP,59.bmp,5,ziu2,ga3,ra1,ri4,23,61,21,59,4,1,3,2
,,18,,F45_07,F45_07.bmp,ra4,m2-ra4.wav,SHRY,132.bmp,7,ra4,fi2,ri3,kiu1,132,87,27,105,1,3,2,4
,,19,,T12_03,T12_03.bmp,fai3,f1-fai3.wav,SLTP,66.bmp,3,gi2,fai4,rai3,fai3,134,32,79,66,4,2,3,1
,,20,,F19_11,F19_11.bmp,riu2,m1-riu2.wav,FILL,11.bmp,11,fiu3,pia1,riu2,riu4,74,25,11,88,3,4,2,1
,,21,,F34_05,F34_05.bmp,fe1,f1-fe1.wav,SHHP,36.bmp,5,kiu4,fe1,ra3,fi2,109,36,120,87,2,4,1,3
,,22,,F38_11,F38_11.bmp,giu1,f2-giu1.wav,FILL,37.bmp,11,kia4,giu1,zia4,bia1,49,37,57,85,2,4,3,1
,,23,,T08_02,T08_02.bmp,ga4,m1-ga4.wav,SHTI,82.bmp,2,be1,ra4,ga4,ga3,5,132,82,42,3,4,2,1
,,24,,F26_09,F26_09.bmp,kiu2,f2-kiu2.wav,SHDI,18.bmp,9,kiu2,fi3,fe4,be1,18,101,99,5,1,2,3,4
,,25,,F31_09,F31_09.bmp,be1,m2-be1.wav,SHDI,5.bmp,9,ga3,ziu2,be1,fi3,133,77,5,131,3,1,4,2
,,26,,T15_04,T15_04.bmp,rai2,m1-rai2.wav,SLTI,67.bmp,4,rai2,pe3,rai4,fai2,67,22,16,13,1,3,4,2
,,27,,F47_07,F47_07.bmp,fe2,m1-fe2.wav,SHRY,53.bmp,7,ga2,be3,ra4,fe2,69,122,132,53,4,1,3,2
,,28,,T10_03,T10_03.bmp,gi1,m1-gi1.wav,SLTP,89.bmp,3,zi1,gi1,piu4,gi3,34,89,39,83,2,4,1,3
,,29,,F23_07,F23_07.bmp,ziu3,m1-ziu3.wav,SHDI,103.bmp,7,riu4,ziu3,fi3,fe1,88,103,60,124,2,1,4,3
,,30,,F30_07,F30_07.bmp,ra3,m1-ra3.wav,SHDI,120.bmp,7,ziu3,ra4,fe1,ra3,103,132,124,120,4,2,1,3
,,31,,T11_03,T11_03.bmp,me4,f2-me4.wav,SLTP,17.bmp,3,me4,pe4,me2,rai1,17,107,78,112,1,3,2,4
,,32,,F22_06,F22_06.bmp,pe2,f2-pe2.wav,SLHP,28.bmp,6,giu1,piu4,rai3,pe2,37,39,79,28,4,2,3,1
,,33,,T01_01,T01_01.bmp,ra1,m1-ra1.wav,SHTP,91.bmp,1,ra2,ga1,fe4,ra1,12,128,99,91,4,1,2,3
,,34,,F41_06,F41_06.bmp,gi1,f1-gi1.wav,SLHP,31.bmp,6,rai4,fai3,gi1,piu2,58,4,31,26,3,4,1,2
,,35,,F43_05,F43_05.bmp,fi3,f1-fi3.wav,SHHP,56.bmp,5,ri4,fi3,be2,fe1,126,56,86,36,2,3,4,1
,,36,,T13_04,T13_04.bmp,biu3,f1-biu3.wav,SLTI,41.bmp,4,biu1,zi2,piu3,biu3,127,80,121,41,4,1,3,2
,,37,,F32_10,F32_10.bmp,zi2,m2-zi2.wav,SLDI,80.bmp,10,rai1,biu4,zi2,piu3,112,111,80,121,3,1,2,4
,,38,,T09_03,T09_03.bmp,piu2,m2-piu2.wav,SLTP,71.bmp,3,piu2,me3,piu1,biu2,71,110,19,136,1,3,4,2
,,39,,F18_05,F18_05.bmp,ga3,m1-ga3.wav,SHHP,6.bmp,5,be2,ri4,fe1,ga3,47,59,102,6,4,3,1,2
,,40,,F35_10,F35_10.bmp,biu4,f2-biu4.wav,SLDI,111.bmp,10,gi2,biu4,fai1,rai3,134,111,135,79,2,3,4,1
,,41,,T06_02,T06_02.bmp,fe3,f1-fe3.wav,SHTI,29.bmp,2,fe3,fe1,kiu2,be3,29,108,18,122,1,2,4,3
,,42,,F25_09,F25_09.bmp,fi2,f1-fi2.wav,SHRY,87.bmp,9,fi2,kiu4,ga3,fe1,87,14,6,102,1,4,2,3
,,43,,F40_06,F40_06.bmp,me4,m1-me4.wav,SLHP,10.bmp,6,zi3,me4,piu2,biu1,95,10,64,24,2,1,4,3
